ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-12-31,186.67223166000366,166.9660743876412,181.52066285664682,186.67223166000366,186.67223166000366,-12.657610983365274,-12.657610983365274,-12.657610983365274,3.1248987741772942,3.1248987741772942,3.1248987741772942,-15.782509757542568,-15.782509757542568,-15.782509757542568,0.0,0.0,0.0,174.0146206766384
2022-01-03,185.69643000625166,164.3012771454296,179.24710810707992,185.69643000625166,185.69643000625166,-14.034215999242567,-14.034215999242567,-14.034215999242567,3.1615062699802636,3.1615062699802636,3.1615062699802636,-17.19572226922283,-17.19572226922283,-17.19572226922283,0.0,0.0,0.0,171.66221400700908
2022-01-04,185.37116278833432,163.72046617676952,178.83270485364963,185.37116278833432,185.37116278833432,-14.4915616203075,-14.4915616203075,-14.4915616203075,3.086413528907323,3.086413528907323,3.086413528907323,-17.577975149214822,-17.577975149214822,-17.577975149214822,0.0,0.0,0.0,170.87960116802682
2022-01-05,185.045895570417,163.1931489616431,176.61998690609997,185.045895570417,185.045895570417,-15.058369449878578,-15.058369449878578,-15.058369449878578,2.851686827396121,2.851686827396121,2.851686827396121,-17.9100562772747,-17.9100562772747,-17.9100562772747,0.0,0.0,0.0,169.98752612053843
2022-01-06,184.72062835249963,161.91971961558033,176.52338405621353,184.72062835249963,184.72062835249963,-15.382341534884794,-15.382341534884794,-15.382341534884794,2.806883217643777,2.806883217643777,2.806883217643777,-18.18922475252857,-18.18922475252857,-18.18922475252857,0.0,0.0,0.0,169.33828681761483
2022-01-07,184.39536113458232,162.42938536369815,176.74549838670123,184.39536113458232,184.39536113458232,-15.288332592650587,-15.288332592650587,-15.288332592650587,3.124898774177688,3.124898774177688,3.124898774177688,-18.413231366828274,-18.413231366828274,-18.413231366828274,0.0,0.0,0.0,169.10702854193173
2022-01-10,183.4195594808303,160.77455095823294,174.98014591575557,183.4195594808303,183.4195594808303,-15.57767649578321,-15.57767649578321,-15.57767649578321,3.161506269979881,3.161506269979881,3.161506269979881,-18.739182765763093,-18.739182765763093,-18.739182765763093,0.0,0.0,0.0,167.84188298504708
2022-01-11,183.09429226291297,160.5762118594682,174.84947402041885,183.09429226291297,183.09429226291297,-15.643465188769438,-15.643465188769438,-15.643465188769438,3.0864135289085857,3.0864135289085857,3.0864135289085857,-18.729878717678023,-18.729878717678023,-18.729878717678023,0.0,0.0,0.0,167.45082707414355
2022-01-12,182.7690250449956,159.60906882126832,174.41622299717645,182.7690250449956,182.7690250449956,-15.809799746916102,-15.809799746916102,-15.809799746916102,2.851686827396213,2.851686827396213,2.851686827396213,-18.661486574312313,-18.661486574312313,-18.661486574312313,0.0,0.0,0.0,166.9592252980795
2022-01-13,182.4437578270783,159.5875119486062,173.65046140573722,182.4437578270783,182.4437578270783,-15.727747525970061,-15.727747525970061,-15.727747525970061,2.8068832176469267,2.8068832176469267,2.8068832176469267,-18.534630743616987,-18.534630743616987,-18.534630743616987,0.0,0.0,0.0,166.7160103011082
